Entity,Code,Year,ChildMortalityRate
Australia,AUS,1921,8.900341899999999
Australia,AUS,1922,7.0894627
Australia,AUS,1923,7.95230704
Australia,AUS,1924,7.62476995
Australia,AUS,1925,7.02232234
Australia,AUS,1926,7.09359818
Australia,AUS,1927,7.31127322
Australia,AUS,1928,7.210626840000001
Australia,AUS,1929,6.89907088
Australia,AUS,1930,6.453668620000001
Australia,AUS,1931,5.514029860000001
Australia,AUS,1932,5.44795036
Australia,AUS,1933,5.393827900000001
Australia,AUS,1934,5.871189360000001
Australia,AUS,1935,5.422720000000001
Australia,AUS,1936,5.6202818400000005
Australia,AUS,1937,5.11333501
Australia,AUS,1938,5.113621
Australia,AUS,1939,5.0986585600000005
Australia,AUS,1940,5.04807184
Australia,AUS,1941,5.275078270000001
Australia,AUS,1942,5.174450740000001
Australia,AUS,1943,5.039005800000001
Australia,AUS,1944,4.14796141
Australia,AUS,1945,3.8011332000000007
Australia,AUS,1946,3.8553144400000003
Australia,AUS,1947,3.5737200700000002
Australia,AUS,1948,3.3836132800000005
Australia,AUS,1949,3.2200000000000006
Australia,AUS,1950,3.16
Australia,AUS,1951,3.1
Australia,AUS,1952,3.0300000000000002
Australia,AUS,1953,2.95
Australia,AUS,1954,2.87
Australia,AUS,1955,2.8000000000000003
Australia,AUS,1956,2.7300000000000004
Australia,AUS,1957,2.66
Australia,AUS,1958,2.6
Australia,AUS,1959,2.54
Australia,AUS,1960,2.49
Australia,AUS,1961,2.43
Australia,AUS,1962,2.37
Australia,AUS,1963,2.32
Australia,AUS,1964,2.27
Australia,AUS,1965,2.2399999999999998
Australia,AUS,1966,2.2100000000000004
Australia,AUS,1967,2.2
Australia,AUS,1968,2.19
Australia,AUS,1969,2.17
Australia,AUS,1970,2.14
Australia,AUS,1971,2.09
Australia,AUS,1972,2.02
Australia,AUS,1973,1.9300000000000002
Australia,AUS,1974,1.8399999999999999
Australia,AUS,1975,1.7300000000000002
Australia,AUS,1976,1.62
Australia,AUS,1977,1.5300000000000002
Australia,AUS,1978,1.4400000000000002
Australia,AUS,1979,1.36
Australia,AUS,1980,1.3
Australia,AUS,1981,1.26
